ID,Título,Categoria,Preço Unitário,Preço Promocional,Quantidade Vendas,Editora
1,A Chama do Destino,Fantasia,"45,0","28,0",10,Castelo de Camelot
2,O Enigma das Estrelas,Fantasia,"60,0","35,0",23,Alexandria
3,O Segredo da Floresta Encantada,Fantasia,"55,0","32,0",8,Alexandria
4,A Jornada do Herói Perdido,Fantasia,"50,0","30,0",9,Alexandria
5,A Queda da Cidade Proibida,Fantasia,"40,0","25,0",9,Castelo de Camelot
6,A Profecia do Tempo,Fantasia,"60,0","35,0",11,Castelo de Camelot
7,O Mistério da Pedra Sagrada,Fantasia,"45,0","28,0",13,Anciões
8,A Busca pela Fonte da Juventude,Fantasia,"55,0","32,0",10,Alexandria
9,O Legado dos Antigos,Fantasia,"70,0","40,0",12,Hogwarts
10,O Enigma do Labirinto Misterioso,Mistério e Suspense,"45,0","28,0",6,Alexandria
11,A Chave do Reino Esquecido,Mistério e Suspense,"60,0","35,0",11,Alexandria
12,A Jornada da Alma Divina,Mistério e Suspense,"55,0","32,0",10,Hogwarts
13,O Segredo do Portal Dimensional,Mistério e Suspense,"50,0","30,0",7,Alexandria
14,A Queda do Império Celestial,Mistério e Suspense,"40,0","25,0",10,Alexandria
15,A Profecia do Destino,Mistério e Suspense,"60,0","35,0",14,Castelo de Camelot
16,O Mistério do Colar Encantado,Mistério e Suspense,"45,0","28,0",10,Hogwarts
17,A Busca pela Relíquia Perdida,Mistério e Suspense,"55,0","32,0",13,Alexandria
18,O Legado das Sombras Ocultas,Mistério e Suspense,"70,0","40,0",9,Hogwarts
19,O Enigma do Templo Perdido,Épico e Aventura,"45,0","28,0",13,Castelo de Camelot
20,A Chave para o Mundo Desconhecido,Épico e Aventura,"60,0","35,0",10,Alexandria
21,A Jornada do Herói Destemido,Épico e Aventura,"55,0","32,0",8,Castelo de Camelot
22,O Segredo do Artefato Mágico,Épico e Aventura,"50,0","30,0",9,Castelo de Camelot
23,A Queda do Reino Dourado,Épico e Aventura,"40,0","25,0",12,Alexandria
24,A Profecia do Destino Eterno,Épico e Aventura,"60,0","35,0",8,Alexandria
25,O Mistério do Livro Proibido,Épico e Aventura,"45,0","28,0",9,Povo do Livro
26,A Busca pelo Tesouro Perdido,Épico e Aventura,"55,0","32,0",5,Alexandria
27,O Legado dos Mistérios Antigos,Épico e Aventura,"70,0","40,0",5,Alexandria
28,O Enigma do Vale Encantado,Épico e Aventura,"45,0","28,0",10,Alexandria
29,A Chave para a Dimensão Paralela,Mitologia e Fantasia,"60,0","35,0",11,Castelo de Camelot
30,A Jornada do Guerreiro Solitário,Mitologia e Fantasia,"55,0","32,0",9,Castelo de Camelot
31,O Segredo da Montanha Sagrada,Mitologia e Fantasia,"50,0","30,0",9,Castelo de Camelot
32,A Queda do Império Sombrio,Mitologia e Fantasia,"40,0","25,0",7,Castelo de Camelot
33,A Profecia do Destino Infinito,Mitologia e Fantasia,"60,0","35,0",7,Hogwarts
34,O Mistério da Cidade Fantasma,Mitologia e Fantasia,"45,0","28,0",8,Povo do Livro
35,A Busca pelo Objeto Encantado,Mitologia e Fantasia,"55,0","32,0",10,Hogwarts
36,O Legado das Criaturas Mitológicas,Mitologia e Fantasia,"70,0","40,0",11,Hogwarts
37,O Enigma do Castelo Enfeitiçado,Épico e Aventura,"45,0","28,0",10,Castelo de Camelot
38,A Chave para o Portal Secreto,Épico e Aventura,"60,0","35,0",4,Castelo de Camelot
39,A Jornada do Herói Desconhecido,Épico e Aventura,"55,0","32,0",8,Anciões
40,O Segredo da Joia Eterna,Épico e Aventura,"50,0","30,0",13,Hogwarts
41,A Queda do Império Obscuro,Épico e Aventura,"40,0","25,0",6,Castelo de Camelot
42,A Profecia do Destino Supremo,Épico e Aventura,"65,0","38,0",3,Alexandria
